ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,TotalSpendings,Age,Tenure,TotalChildren,TotalSpent,TotalPurchases,Education_Encoded,Marital_Status_Encoded,Cluster
7373,1952,PhD,Divorced,10.749591843760111,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,302,73,6.411818267709897,2,5.713732805509369,11,3.0,0.0,7
8755,1946,Master,Married,11.13689293754577,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,1196,79,6.20455776256869,0,7.087573705557973,17,2.0,1.0,5
10738,1951,Master,Single,10.807503253534671,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,65,74,5.720311776607412,2,4.189654742026425,5,2.0,0.0,0
4339,1970,PhD,Married,11.117717571314712,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,913,55,5.198497031265826,1,6.81783057145415,23,3.0,1.0,1
10755,1976,2n Cycle,Married,10.074031693706946,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,81,49,5.707110264748875,1,4.406719247264253,6,,1.0,0
8595,1973,Graduation,Widow,10.65561093819637,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,67,52,4.9344739331306915,1,4.219507705176107,5,1.0,0.0,0
2968,1943,PhD,Divorced,10.79853421874079,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,902,82,6.2422232654551655,0,6.805722553416985,22,3.0,0.0,5
8601,1980,Graduation,Married,11.289931902407144,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,1395,45,6.056784013228625,1,7.241366283322318,19,1.0,1.0,5
503,1985,Master,Married,9.931102719569102,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,53,40,6.163314804034641,1,3.9889840465642745,5,2.0,1.0,6
8430,1957,Graduation,Together,9.99857043378282,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,22,68,6.315358001522335,1,3.1354942159291497,3,1.0,1.0,0
7281,1959,PhD,Single,0.0,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,186,66,5.4680601411351315,0,5.231108616854587,8,3.0,0.0,0
2139,1975,Master,Married,8.922791623969637,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,31,50,5.602118820879701,1,3.4657359027997265,5,2.0,1.0,0
1371,1976,Graduation,Single,11.289056650716423,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,984,49,0.6931471805599453,0,6.892641641172089,15,1.0,0.0,3
9909,1996,2n Cycle,Married,8.922791623969637,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,122,29,6.393590753950631,0,4.812184355372417,7,,1.0,7
7286,1968,Graduation,Together,10.638951609723101,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,55,57,5.996452088619021,1,4.02535169073515,4,1.0,1.0,6
7244,1951,Graduation,Single,0.0,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,124,74,5.19295685089021,3,4.8283137373023015,7,1.0,0.0,6
6566,1954,PhD,Married,11.19204504181486,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,1319,71,6.395261598115449,2,7.1853870155804165,19,3.0,1.0,7
8614,1957,Graduation,Widow,11.089606928642473,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,507,68,3.8918202981106265,1,6.230481447578482,16,1.0,0.0,1
4114,1964,Master,Married,11.279024257003059,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,1693,61,6.5337888379333435,0,7.434847875211999,28,2.0,1.0,9
1331,1977,Graduation,Single,10.485451744135313,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,72,48,6.298949246855942,1,4.290459441148391,5,1.0,0.0,6
2225,1977,Graduation,Divorced,11.321559127189037,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,1617,48,3.1354942159291497,0,7.388946097618437,20,1.0,0.0,3
9381,1978,Graduation,Married,11.103060692517378,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,606,47,5.948034989180646,2,6.408528791059498,16,1.0,1.0,2
6260,1955,Master,Together,11.319158660491532,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,1957,70,6.376726947898627,0,7.579678823090456,26,2.0,1.0,9
10383,1966,Graduation,Divorced,11.160356366215561,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,1093,59,6.118097198041348,0,6.9975959829819265,20,1.0,0.0,9
7437,1988,Graduation,Single,10.237778841189767,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,29,37,4.143134726391533,1,3.4011973816621555,5,1.0,0.0,4
8557,1982,Graduation,Single,0.0,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,46,43,5.934894195619588,1,3.8501476017100584,5,1.0,0.0,6
8375,1968,PhD,Married,10.932303075252127,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,518,57,4.77912349311153,1,6.251903883165888,16,3.0,1.0,2
6853,1982,Master,Single,11.2355632920364,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,1438,43,5.8888779583328805,0,7.271703706887368,20,2.0,0.0,9
3076,1975,Graduation,Together,11.107270338809778,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,612,50,6.493753839851686,2,6.418364935936212,18,1.0,1.0,5
1012,1952,Graduation,Single,11.03204691757219,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,884,73,6.208590026096629,1,6.785587645007929,20,1.0,0.0,5
6518,1951,PhD,Widow,11.122560769584661,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,606,74,5.950642552587727,1,6.408528791059498,18,3.0,0.0,2
4137,1948,Graduation,Together,11.165733981956047,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,1076,77,5.327876168789581,0,6.981934677156389,15,1.0,1.0,2
8082,1971,Graduation,Married,10.155101935826032,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,34,54,6.003887067106539,1,3.5553480614894135,4,1.0,1.0,6
1386,1967,Graduation,Together,10.3882258415388,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,11,58,3.912023005428146,2,2.4849066497880004,3,1.0,1.0,4
9369,1979,2n Cycle,Single,11.387305551045577,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,1274,46,4.634728988229636,1,7.150701457592526,31,,0.0,9
4477,1958,Graduation,Together,11.143266593473202,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,653,67,5.62040086571715,1,6.483107351457199,17,1.0,1.0,2
1357,1970,Graduation,Together,11.223308187883937,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,1562,55,6.104793232414985,3,7.354362330421477,12,1.0,1.0,7
1402,1954,Master,Married,11.112328488258925,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,1253,71,6.48768401848461,0,7.134093721192866,18,2.0,1.0,9
10629,1973,2n Cycle,Married,0.0,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,109,52,6.483107351457199,1,4.700480365792417,6,,1.0,6
6312,1959,Graduation,Married,11.082634735426408,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,863,66,6.152732694704104,1,6.761572768804055,26,1.0,1.0,5
8132,1975,PhD,Married,11.012578085491866,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,661,50,6.111467339502679,2,6.495265555937008,19,3.0,1.0,7
1050,1952,Graduation,Married,10.251782482029256,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,65,73,4.110873864173311,0,4.189654742026425,7,1.0,1.0,8
5846,1977,Graduation,Divorced,10.60279074590741,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,13,48,6.324358962381311,1,2.6390573296152584,3,1.0,0.0,6
1859,1972,Master,Married,11.228597760331022,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,1890,53,6.51025834052315,0,7.544861068658458,18,2.0,1.0,5
7503,1976,Graduation,Single,11.236196520732264,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,2209,49,6.439350371100098,0,7.700747794511798,22,1.0,0.0,9
10401,1976,2n Cycle,Together,10.17835030752565,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,18,49,5.700443573390687,0,2.9444389791664403,3,,1.0,8
1618,1965,Graduation,Together,10.933945903428258,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,692,60,6.298949246855942,0,6.541029999189903,19,1.0,1.0,5
3332,1985,Graduation,Single,10.300954090533025,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,165,40,6.507277712385012,1,5.111987788356544,8,1.0,0.0,7
2261,1969,Graduation,Married,10.177514314164908,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,16,56,5.918893854273146,1,2.833213344056216,3,1.0,1.0,0
5346,1973,2n Cycle,Married,10.067305637765523,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,79,52,5.8916442118257715,1,4.382026634673881,6,,1.0,0
4119,1963,Master,Together,10.561551448966803,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,318,62,6.028278520230698,0,5.765191102784844,10,2.0,1.0,2
535,1987,Graduation,Divorced,11.306663612524535,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,778,38,4.8283137373023015,0,6.658011045870748,26,1.0,0.0,1
5268,1960,Graduation,Married,10.290143539657238,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,56,65,5.777652323222656,2,4.04305126783455,5,1.0,1.0,6
273,1970,Master,Married,10.495127893591839,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,151,55,5.855071922202427,2,5.0238805208462765,8,2.0,1.0,0
4452,1957,Graduation,Single,10.827528176270343,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,372,68,3.4965075614664802,1,5.921578419643816,13,1.0,0.0,8
8504,1973,Graduation,Married,11.284693992107073,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,1366,52,3.8918202981106265,0,7.220373836723949,18,1.0,1.0,1
771,1967,Graduation,Together,10.900048658473553,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,194,58,5.075173815233827,1,5.272999558563747,9,1.0,1.0,8
8996,1957,PhD,Married,0.0,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,603,68,6.376726947898627,3,6.403574197934815,17,3.0,1.0,6
9235,1957,Graduation,Single,0.0,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,18,68,3.5263605246161616,2,2.9444389791664403,3,1.0,0.0,6
5798,1973,Master,Together,0.0,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,985,52,5.389071729816501,0,6.893656354602635,14,2.0,1.0,7
11178,1972,Master,Single,10.654785709738103,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,32,53,4.59511985013459,1,3.4965075614664802,4,2.0,0.0,0
2230,1970,PhD,Married,10.070145404863476,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,43,55,3.6109179126442243,1,3.784189633918261,7,3.0,1.0,4
7516,1983,Graduation,Married,10.312180777995717,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,45,42,3.6635616461296463,1,3.828641396489095,5,1.0,1.0,4
7247,1960,Graduation,Widow,10.77722562648903,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,606,65,6.371611847231857,1,6.408528791059498,17,1.0,0.0,5
11100,1972,Graduation,Divorced,10.855415662001414,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,63,53,6.09807428216624,2,4.1588830833596715,5,1.0,0.0,6
4646,1951,2n Cycle,Married,11.270828425738932,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,978,74,5.351858133476067,0,6.88653164253051,24,,1.0,1
3037,1983,PhD,Married,10.822793733370741,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,410,42,5.926926025970411,0,6.018593214496234,14,3.0,1.0,2
1473,1960,2n Cycle,Single,10.775282884523719,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,72,65,5.834810737062605,1,4.290459441148391,5,,0.0,0
1016,1959,PhD,Single,10.450307536525495,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,55,66,4.5217885770490405,1,4.02535169073515,5,3.0,0.0,4
4518,1979,Graduation,Together,11.358538090466329,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,1169,46,6.077642243349034,1,7.064759027791802,25,1.0,1.0,5
9370,1945,PhD,Married,11.095089148047066,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,1120,80,6.013715156042802,0,7.02197642307216,15,3.0,1.0,9
8908,1959,Graduation,Married,11.375913737285305,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,1097,66,3.970291913552122,0,7.001245622069476,19,1.0,1.0,1
8373,1979,Basic,Together,10.11029844922944,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,29,46,5.308267697401205,1,3.4011973816621555,4,0.0,1.0,0
7533,1964,Graduation,Married,10.80155321211961,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,187,61,5.631211781821365,2,5.236441962829949,9,1.0,1.0,0
2683,1969,Graduation,Married,10.866929010196616,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,910,56,6.240275845170769,2,6.814542897259958,22,1.0,1.0,5
3629,1978,Graduation,Single,10.559918880159413,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,145,47,6.324358962381311,1,4.983606621708336,7,1.0,0.0,7
10991,1960,Master,Married,11.397054350427297,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,850,65,6.345636360828596,0,6.7464121285733745,13,2.0,1.0,9
5077,1979,Graduation,Together,11.255436297881227,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,969,46,5.480638923341991,1,6.877296071497429,23,1.0,1.0,9
7431,1991,PhD,Single,11.129128889332778,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,1820,34,6.391917113392602,0,7.507141079727608,16,3.0,0.0,5
3267,1963,Master,Together,10.955863912197044,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,608,62,1.6094379124341003,1,6.411818267709897,17,2.0,1.0,3
999,1991,Graduation,Single,11.362544338109172,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,730,34,6.298949246855942,0,6.594413459749778,24,1.0,0.0,9
9215,1980,PhD,Married,10.691376569605758,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,551,45,6.336825731146441,1,6.313548046277095,16,3.0,1.0,7
2286,1962,Graduation,Single,10.835376005033337,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,114,63,5.680172609017068,2,4.74493212836325,6,1.0,0.0,0
1592,1970,Graduation,Married,11.416040045126518,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,1724,55,5.056245805348308,0,7.45298232946546,15,1.0,1.0,1
367,1978,2n Cycle,Married,10.506463824584774,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,577,47,6.206575926724928,1,6.359573868672378,15,,1.0,7
5234,1967,2n Cycle,Together,10.333775346075639,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,81,58,5.869296913133774,2,4.406719247264253,5,,1.0,0
9862,1969,Graduation,Together,9.995109119583352,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,33,56,5.429345628954441,1,3.5263605246161616,5,1.0,1.0,0
9805,1953,Master,Together,10.935425707936245,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,660,72,5.926926025970411,1,6.493753839851686,18,2.0,1.0,2
6205,1967,Master,Single,10.390778393168455,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,80,58,4.836281906951478,1,4.394449154672439,6,2.0,0.0,8
8442,1985,Master,Married,9.878733688069898,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,30,40,5.700443573390687,2,3.4339872044851463,4,2.0,1.0,6
